"model","(Intercept)","Strategy","Week","poly(Week, 2)","poly(Week, 2):Strategy","Habitat","Tide","ns(Week, df = 3)","ns(Week, df = 3):Strategy","poly(Week, 5)","poly(Week, 5):Strategy","poly(Week, 3)","class","control","df","logLik","AICc","delta","weight"
"glm4",-2.95727797951549,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,"glm","",4,336.214574433174,-664.145460923086,0,0.343809302820845
"glm_pol",-3.14954437773134,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,"glm","",8,340.347109301001,-663.643123711491,0.502337211594977,0.267446232357731
"glmer_polint2",-3.20283394632085,"+",NA,"+","+","+",NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",13,346.0921928824,-663.426810007224,0.718650915861303,0.240029466638953
"glm_pol2",-3.15513706812861,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,"+","glm","",9,340.411702096909,-661.499874782054,2.64558614103214,0.0915874341849013
"glm_polint",-3.16368851430885,"+",NA,"+","+","+",NA,NA,NA,NA,NA,NA,"glm","",12,342.787571247787,-659.229277833919,4.91618308916622,0.0294294421469792
"glmerfull",-4.82618209571392,"+",0.0811974687702141,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",8,337.497069374913,-657.943043859315,6.20241706377021,0.015469628027213
"glmer_red3",-3.03582503505497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",3,331.02132463147,-655.873635178432,8.2718257446536,0.0054968449328785
"glmer_pol1",-3.22655427597198,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",7,335.280650043533,-655.749705884168,8.39575503891763,0.00516657313370612
"glmer_red2",-4.00550433224252,"+",0.0445562105288093,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",6,332.1319297181,-651.659542889437,12.4859180336483,0.000668397738696424
"glmer_polint1",-3.21634506896461,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",11,337.62178288046,-651.273416507188,12.8720444158974,0.000551047064726614
"glmer_red1",-4.00552128762917,"+",0.0445570415008036,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",7,332.131929725209,-649.452265247519,14.6931956755669,0.000221682148542357
"glmer_spline",-4.3369298936121,"+",NA,NA,NA,NA,NA,"+","+",NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",14,338.85439194261,-646.502677014991,17.6427839080949,5.07266024595718e-05
"glm5",-3.32541596440181,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,"glm","",3,325.965400274263,-645.761786464019,18.3836744590665,3.50230074362437e-05
"glm1",-3.19075380002131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",2,324.194323285101,-644.304730486287,19.840730436799,1.69027648980271e-05
"glm2",-4.47803564826078,NA,0.0685673963021728,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",3,325.079542437487,-643.990070790466,20.1553901326197,1.44420972822418e-05
"glmer_polint3",-3.24799568317649,"+",NA,NA,NA,NA,NA,NA,NA,"+","+",NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",20,344.086507429125,-641.453014858251,22.6924460648352,4.06177226956082e-06
"glm3",-3.28523606224052,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",4,324.493690913321,-640.703693883379,23.4417670397064,2.79256048220082e-06
