"model","(Intercept)","Strategy","Week","poly(Week, 2)","poly(Week, 2):Strategy","Habitat","Tide","poly(Week, 3)","class","df","logLik","AICc","delta","weight"
"lm_pol1",0.137948207030827,"+",NA,"+",NA,NA,"+",NA,"lm",7,155.762274295728,-296.712954388558,0,0.668352114244794
"lm_pol2",0.138510340971469,"+",NA,NA,NA,NA,"+","+","lm",8,155.909472345828,-294.767849801145,1.94510458741217,0.252715122953445
"lm_polint",0.13711383199786,"+",NA,"+","+",NA,"+",NA,"lm",11,158.077891040316,-292.1856328269,4.52732156165791,0.0694880205108255
"lm2",-0.176842087854461,NA,0.0168447613904538,NA,NA,NA,NA,NA,"lm",3,147.158778938447,-288.148543792388,8.56441059616992,0.00923139203688654
"lm5",0.147011319679151,NA,NA,NA,NA,NA,"+",NA,"lm",3,142.946774685294,-279.724535286081,16.9884191024768,0.000136778233342588
"lm1",0.13097862029438,NA,NA,NA,NA,NA,NA,NA,"lm",2,140.769845742053,-277.455775400189,19.2571789883681,4.39908182756994e-05
"lm4",0.146233707502996,NA,NA,NA,NA,"+",NA,NA,"lm",4,142.033618430798,-275.783548918333,20.9294054702245,1.90652574240884e-05
"lm3",0.112649127081977,"+",NA,NA,NA,NA,NA,NA,"lm",4,141.670504243053,-275.057320542844,21.6556338457139,1.32600201971117e-05
"lmer_pol1",0.122512027468751,"+",NA,"+",NA,NA,NA,NA,"lmerMod",7,140.976230445565,-267.140866688232,29.5720877003259,2.53225870594265e-07
"lmer_polint1",0.11989525719172,"+",NA,"+","+",NA,NA,NA,"lmerMod",11,140.355964650844,-256.741780047956,39.9711743406018,1.39757492674675e-09
"lmer_red1",-0.179342570856658,"+",0.0167504183008008,NA,NA,NA,NA,NA,"lmerMod",7,135.42048421834,-256.029374233781,40.6835801547766,9.78764352539523e-10
"lmerfull",-0.179350581825096,"+",0.0167708856888153,NA,NA,NA,NA,NA,"lmerMod",8,135.43035639412,-253.809617897728,42.9033364908293,3.22599863744361e-10
