"model","(Intercept)","Habitat","Strategy","Tide","Week","Strategy:Week","poly(Week, 3)","ns(Week, df = 4)","Strategy:Tide","Tide:Week","poly(Week, 3):Strategy","Habitat:Strategy","poly(Week, 2)","poly(Week, 2):Strategy","poly(Strategy, 2)","poly(Strategy, 2):poly(Week, 2)","poly(Strategy, 2):Week","class","df","logLik","AICc","delta","weight"
"lmfull",0.0710085583976835,"+","+","+",0.0123454146286837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",8,184.972527266439,-353.278387866212,0,0.363532368472898
"lm_pol",0.295982423108255,"+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,"lm",9,185.142942731561,-351.448676160797,1.82971170541526,0.145621747163309
"lm_pollies",0.297844958650065,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,"+",NA,NA,"lm",9,185.142942731561,-351.448676160797,1.82971170541526,0.145621747163309
"lm_pol4",0.299492376542593,"+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",10,185.972447677942,-350.916857972707,2.36152989350484,0.111620351334485
"lm_pol2",0.269731334277995,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,"lm",8,183.276796199278,-349.88692573189,3.39146213432213,0.0666954858713808
"lm5",0.275462000919608,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",4,178.766309981437,-349.350801781056,3.92758608515629,0.051012734473989
"lm_int1",0.0464715099787986,"+","+","+",0.0136947566358956,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",10,185.027458672561,-349.026879961944,4.25150790426778,0.0433850272597927
"lm_pol9",0.0722421711469423,"+",NA,"+",0.0123515197922197,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,"+","lm",10,185.027458672561,-349.026879961944,4.25150790426778,0.0433850272597927
"lm_polint",0.298122256392408,"+","+","+",NA,NA,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,"lm",13,186.809874620221,-345.894630757029,7.38375710918353,0.00906109329136233
"lm_pollies2",0.298383226711084,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,"+","+",NA,"lm",13,186.809874620221,-345.894630757029,7.38375710918353,0.00906109329136233
"lm_pol5",0.299873059023631,"+","+","+",NA,NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,"lm",16,189.797920641753,-344.98045666812,8.29793119809176,0.00573680675261929
"lm_pol3",0.274154301509735,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,"lm",12,185.140519199165,-344.809340285122,8.46904758108985,0.00526638700246541
"lm4",0.31229754553807,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",3,164.835242065096,-323.561886845124,29.7165010210884,1.28140636974158e-07
"lm2",0.058537218796116,NA,NA,NA,0.0120808835690691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",3,160.107252919752,-314.105908554436,39.1724793117764,1.13330624565779e-09
"lmer_reduced1",0.0131621623768875,NA,"+",NA,0.0121882452533101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",7,163.625323797373,-312.734518562489,40.5438693037235,5.70891700211431e-10
"lmer_full",0.0143030929072777,NA,"+",NA,0.0124697140795044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,164.54520334548,-312.423740024293,40.8546478419192,4.88730032228193e-10
"lm1",0.279644234518012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",2,157.068572086071,-310.083090118089,43.1952977481235,1.51636362494007e-10
"lmer_reduced6",0.0318403453499988,NA,"+","+",0.0125528594470794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,162.590799116033,-308.5149315654,44.7634563008125,6.92280430030289e-11
"lmer_reduced3",0.0480774574640109,"+","+",NA,0.0121555177420488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,162.244458097435,-307.822249528203,45.4561383380091,4.8963004739977e-11
"lm3",0.271510428493651,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",4,157.915767283218,-307.649716384618,45.6286714815939,4.49161957057845e-11
"lmer_reduced2",0.0686868094548781,"+","+","+",0.0124953756990655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",9,161.014435406571,-303.191661510816,50.0867263553964,4.83446755098791e-12
"lmer_reduced5",0.06868680945479,"+","+","+",0.0124953756990712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",9,161.014435406571,-303.191661510816,50.0867263553965,4.83446755098763e-12
"lmer_poly1",0.300103976061104,"+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",11,162.594980869418,-301.950525119118,51.3278627470945,2.59919765481706e-12
"lmer_poly2",0.300103976061104,"+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",11,162.594980869418,-301.950525119118,51.3278627470945,2.59919765481706e-12
"lmer_int3",0.088926285511315,"+","+","+",0.0114145379283864,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,"lmerMod",10,157.256113932213,-293.484190481248,59.7941973849643,3.77049265316506e-14
"lmer_polyint",0.300939626291865,"+","+","+",NA,NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,"lmerMod",17,163.688631823619,-290.420741908109,62.8576459581037,8.1503956866124e-15
"lmer_int2",0.0548103849867651,"+","+","+",0.0129573096393484,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",11,156.624506837253,-290.009577054787,63.2688108114256,6.63583196261281e-15
"lmer_spline",0.27931616053869,"+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",12,157.306026637575,-289.140355161943,64.1380327042688,4.29681093058824e-15
"lmer_int4",0.249763089228796,"+","+",NA,NA,NA,"+",NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,"lmerMod",14,157.40133870749,-284.80267741498,68.4757104512321,4.91169611458911e-16
"lmer_int1",0.0345340408711738,"+","+","+",0.0143796596482316,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",11,153.824370966097,-284.409305312475,68.869082553737,4.03470533484822e-16
"lmer_reduced4",0.0533078578937386,NA,"+",NA,0.0121742563911361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",6,146.618177784526,-280.851034468134,72.4273533980781,6.80993750095549e-17
