"model","(Intercept)","Habitat","Strategy","Tide","Week","Strategy:Week","Strategy:Tide","Tide:Week","Strategy:Tide:Week","ns(Week, df = 4)","poly(Week, 2)","poly(Week, 2):Strategy","class","df","logLik","AICc","delta","weight"
"lm_pol1",0.614291562910617,"+","+","+",NA,NA,NA,NA,NA,NA,"+",NA,"lm",9,-21.9022090290982,62.641627360522,0,0.945345158449529
"lmfull",1.04437756254308,"+","+","+",-0.0242210526875983,NA,NA,NA,NA,NA,NA,NA,"lm",8,-26.9704722852433,70.6076112371533,7.96598387663121,0.0176116069333368
"lmreduced1",1.04437756254308,"+","+","+",-0.0242210526875983,NA,NA,NA,NA,NA,NA,NA,"lm",8,-26.9704722852433,70.6076112371533,7.96598387663121,0.0176116069333368
"lmreduced3",1.09590708493635,NA,NA,"+",-0.0261709179824726,NA,NA,NA,NA,NA,NA,NA,"lm",4,-32.1952150604942,72.5722483028067,9.93062094228464,0.00659452419142487
"lmreduced2",1.10048524030139,NA,"+","+",-0.0258697267461802,NA,NA,NA,NA,NA,NA,NA,"lm",6,-30.528523567566,73.4423682360493,10.8007408755273,0.00426814655129837
"lm_int3",1.31608392647062,NA,"+","+",-0.037511002762941,NA,NA,"+",NA,NA,NA,NA,"lm",7,-30.1634943299895,74.8431176922371,12.201490331715,0.00211870476483072
"lm2",1.07347150551696,NA,NA,NA,-0.0272449363999226,NA,NA,NA,NA,NA,NA,NA,"lm",3,-34.4459100186754,75.0004173224187,12.3587899618966,0.00195845349160571
"lm4",0.618905070387886,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lm",3,-34.7763341632178,75.6612656115035,13.0196382509814,0.00140738163608705
"lm5",0.513083350596757,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",4,-33.8674710297888,75.9167602413957,13.2751328808737,0.00123860242503893
"lmer_poly2",0.584501176471279,NA,"+",NA,NA,NA,NA,NA,NA,NA,"+",NA,"lmerMod",8,-30.5635368425882,77.793740351843,15.1521129913209,0.000484563696476568
"lm_int1",1.09110103611544,NA,"+",NA,-0.0278310235842822,"+",NA,NA,NA,NA,NA,NA,"lm",7,-31.6980644488711,77.9122579300003,15.2706305694783,0.000456683276818035
"lm1",0.574828625095266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",2,-37.1911229100198,78.4362998740937,15.7946725135717,0.000351415445875943
"lm3",0.590630875170015,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lm",4,-35.3829386612014,78.9476955042211,16.306068143699,0.000272127665592194
"lmer_polyint",0.576095015117795,NA,"+",NA,NA,NA,NA,NA,NA,NA,"+","+","lmerMod",12,-26.882236642352,79.2361713979115,16.5945440373895,0.000235575950320509
"lm_int2",1.9392801410134,NA,"+","+",-0.0707922622256747,"+","+","+","+",NA,NA,NA,"lm",13,-27.6005008703191,82.9261202240506,20.2844928635285,3.72279176792377e-05
"lmerfull",1.04345310558537,NA,"+",NA,-0.0242205446249594,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,-35.6820627328703,88.0307921324074,25.3891647718853,2.90003556550161e-06
"lmerreduced1",1.05478675953886,NA,"+",NA,-0.0260646963955627,NA,NA,NA,NA,NA,NA,NA,"lmerMod",7,-37.1172955689679,88.7507201701939,26.1090928096718,2.02335896019947e-06
"lmer_spline",0.704707023075132,NA,"+",NA,NA,NA,NA,NA,NA,"+",NA,NA,"lmerMod",10,-33.9424568952041,88.9129511735858,26.2713238130638,1.86571336312083e-06
"lmerreduced2",1.07155357790417,NA,"+",NA,-0.0272527148973218,NA,NA,NA,NA,NA,NA,NA,"lmerMod",6,-38.5330014244555,89.4513239498285,26.8096965893064,1.42540657978574e-06
"lmer_int1",1.27037673414446,NA,"+",NA,-0.0381184920397228,"+",NA,NA,NA,NA,NA,NA,"lmerMod",9,-41.315728278448,101.468665859222,38.8270384986996,3.50272562861259e-09
"lmer_int2",1.1824718585652,NA,"+",NA,-0.033457450615062,"+",NA,NA,NA,NA,NA,NA,"lmerMod",8,-42.6786406710199,102.023948008706,39.3823206481844,2.65355524227921e-09
