"model","(Intercept)","Strategy","Week","Strategy:Week","poly(Week, 2)","poly(Week, 2):Strategy","Habitat","Tide","poly(Week, 5)","poly(Week, 5):Strategy","class","control","df","logLik","AICc","delta","weight"
"glmer_intpol2",-2.99456774926838,"+",NA,NA,"+","+",NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",12,400.432789342718,-775.112769696672,0,0.723237665483089
"glmer_intpol1",-2.99220100896299,"+",NA,NA,"+","+",NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",13,400.435278138888,-772.814059102636,2.29871059403615,0.229151324822021
"glmer_intpol3",-2.76567273518421,"+",NA,NA,NA,NA,"+",NA,"+","+","glmerMod","glmerControl(bobyqa,list(2e+05))",23,410.586993101868,-768.563207760623,6.54956193604926,0.0273565755259051
"glmerfull",0.0103275036882503,"+",-0.164722244012381,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",8,392.217603610819,-767.643998430429,7.46877126624281,0.0172765874146942
"glmer_int1",-1.08908441613917,"+",-0.103597236297129,"+",NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",10,392.662000524665,-764.101778827107,11.0109908695648,0.0029395086885162
"glm2",-0.145281666952292,NA,-0.153939025565733,NA,NA,NA,NA,NA,NA,NA,"glm","",3,380.763165398502,-755.397988551014,19.7147811456578,3.78678548637887e-05
"glm4",-2.75397325931531,NA,NA,NA,NA,NA,"+",NA,NA,NA,"glm","",4,376.786372084854,-745.357690406267,29.7550792904045,2.50061978761033e-07
"glm1",-2.9256025052502,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",2,374.033298441839,-744.002767096445,31.1100026002271,1.27007627952022e-07
"glm5",-2.90980075092681,NA,NA,NA,NA,NA,NA,"+",NA,NA,"glm","",3,374.068806826955,-742.009271407921,33.1034982887506,4.68756946325009e-08
"glm3",-3.02082557323642,"+",NA,NA,NA,NA,NA,NA,NA,NA,"glm","",4,375.099062195505,-741.98307062757,33.129699069102,4.62656096439727e-08
